model,weight_type,alpha,accuracy,loss,is_extrapolation
resnet18,nat_scratch,0.0,71.84,1.430597,False
resnet18,nat_scratch,0.1,60.6,2.034087,False
resnet18,nat_scratch,0.2,23.79,4.790157,False
resnet18,nat_scratch,0.3,5.32,7.364823,False
resnet18,nat_scratch,0.35,3.29,7.573711,True
resnet18,nat_scratch,0.4,2.44,7.303389,True
resnet18,nat_scratch,0.5,1.55,6.541168,True
resnet18,nat_scratch,0.6,1.0,6.201505,True
resnet18,nat_finetune,-0.6,1.06,168.763904,True
resnet18,nat_finetune,-0.5,1.1,80.473247,True
resnet18,nat_finetune,-0.4,1.76,39.905128,True
resnet18,nat_finetune,-0.35,2.4,29.290302,True
resnet18,nat_finetune,-0.3,3.2,21.825656,False
resnet18,nat_finetune,-0.2,9.29,10.845937,False
resnet18,nat_finetune,-0.1,45.52,3.300763,False
resnet18,nat_finetune,0.0,72.11,1.381138,False
resnet18,nat_finetune,0.1,57.2,2.226875,False
resnet18,nat_finetune,0.2,14.3,6.130098,False
resnet18,nat_finetune,0.3,3.51,8.395907,False
resnet18,nat_finetune,0.35,2.34,8.336362,True
resnet18,nat_finetune,0.4,1.61,8.027527,True
resnet18,nat_finetune,0.5,1.0,7.26415,True
resnet18,nat_finetune,0.6,1.0,6.573153,True
